内容ID,标题,平台,类型,发布日,发布时间,曝光,阅读/播放,点赞,评论,收藏,分享,转化数,转化率,质量评分,备注
W01-01,,小红书,图文,2026-05-12,12:00,0,0,0,0,0,0,0,0%,,,首发内容
W01-02,,抖音,短视频,2026-05-13,19:00,0,0,0,0,0,0,0,0%,,,
W01-03,,公众号,长图文,2026-05-14,20:00,0,0,0,0,0,0,0,0%,,,
W01-04,,小红书,轮播图,2026-05-14,18:00,0,0,0,0,0,0,0,0%,,,
W01-05,,抖音,短视频,2026-05-15,20:00,0,0,0,0,0,0,0,0%,,,
W01-06,,知乎,回答,2026-05-16,10:00,0,0,0,0,0,0,0,0%,,,
W01-07,,B站,中视频,2026-05-17,18:00,0,0,0,0,0,0,0,0%,,,
W02-01,不是你太敏感是你的情绪雷达太强了,公众号+知乎,长图文,2026-05-18,20:00,0,0,0,0,0,0,0,0%,,5·25预热·高敏感特质科普
W02-02,5·25爱自己日测测你的自爱指数,小红书,轮播图,2026-05-19,12:00,0,0,0,0,0,0,0,0%,,5·25节点轻测试
W02-03,淡淡的疯了心理学怎么解释,抖音+视频号,短视频,2026-05-20,19:00,0,0,0,0,0,0,0,0%,,热词×学生心理月
W02-04,和AI咨询师聊了30分钟,小红书,图文,2026-05-20,18:00,0,0,0,0,0,0,0,0%,,NPC体验实录
W02-05,AI心理测评靠谱吗,知乎+公众号,长图文,2026-05-21,20:00,0,0,0,0,0,0,0,0%,,专业背书·信任建设
W02-06,高考倒计时考前焦虑的3个心理开关,抖音+B站,短视频,2026-05-22,19:00,0,0,0,0,0,0,0,0%,,高考场景·考生焦虑
W02-07,5·25特别企划你的心理健康体检报告,小红书+微博,信息图,2026-05-24,10:00,0,0,0,0,0,0,0,0%,,5·25当天·行动转化
W03-01,11%的孩子在等一个拥抱,公众号+知乎,长图文,2026-05-26,20:00,0,0,0,0,0,0,0,0%,,中小学生心理报告解读
W03-02,今天5·25给自己3分钟的心理体检,小红书,轮播图,2026-05-25,12:00,0,0,0,0,0,0,0,0%,,5·25当天·场景转化
W03-03,上班路上越走越压抑,抖音+视频号,短视频,2026-05-27,19:00,0,0,0,0,0,0,0,0%,,职场倦怠·热点驱动
W03-04,AI心理服务有效率82%怎么算的,知乎+公众号,长图文,2026-05-28,20:00,0,0,0,0,0,0,0,0%,,AI信任背书
W03-05,测完5个焦虑量表后意想不到的事,小红书,图文,2026-05-28,18:00,0,0,0,0,0,0,0,0%,,测评对比体验
W03-06,高考倒计时别再说放轻松,抖音+B站,短视频,2026-05-29,19:00,0,0,0,0,0,0,0,0%,,高考场景·家长版
W03-07,心理健康月收官7个心理发现,小红书+微博,信息图,2026-05-31,10:00,0,0,0,0,0,0,0,0%,,5月月度总结
W04-01,高考前6天你需要的不是鸡汤是方法,公众号+知乎,长图文,2026-06-02,20:00,0,0,0,0,0,0,0,0%,,高考倒计时·考生心理实操指南
W04-02,六一节送孩子什么不如送一份心理安全感,小红书,图文,2026-06-01,12:00,0,0,0,0,0,0,0,0%,,六一节点·儿童心理需求
W04-03,高考焦虑指数3分钟测测你的紧张程度,小红书,轮播图,2026-06-04,12:00,0,0,0,0,0,0,0,0%,,高考场景·轻测试互动
W04-04,AI怎么发现你在假装我没事,知乎+公众号,长图文,2026-06-05,20:00,0,0,0,0,0,0,0,0%,,AI情绪识别·高考关联
W04-05,毕业不快乐分离焦虑的心理学解释,小红书+微博,图文,2026-06-05,18:00,0,0,0,0,0,0,0,0%,,毕业季·身份转换焦虑
W04-06,高考家长自检你是加油站还是压力源,抖音+视频号,短视频,2026-06-06,19:00,0,0,0,0,0,0,0,0%,,高考前1天·家长视角
W04-07,心理健康月结束了但你的心理不需要结束,小红书+微博,信息图,2026-06-07,10:00,0,0,0,0,0,0,0,0%,,5→6月过渡·长期关注引导
